id,created_at,favorite_count,retweet_count,text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
991730434609500160,2018-05-02 17:25:35,60,44,b'Former HHS Sec. Tom Price said Tuesday that GOP efforts to repeal an Obamacare mandate would harm insurance markets.\n\nThe next day he backpedaled https://t.co/N7yhvBiUOJ https://t.co/GiyWhC7eZc',36,89.71,71.09,1.00,2.09,18.00,25.00,50.00,13.89,5.56,2.78,0.00,0.00,0.00,2.78,0.00,2.78,2.78,2.78,2.78,0.00,0.00,0.00,5.56,5.56,2.78,0.00,0.00,0.00,2.78,0.00,2.78,0.00,0.00,0.00,5.56,0.00,0.00,0.00,2.78,2.78,0.00,0.00,2.78,0.00,0.00,0.00,2.78,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,2.78,0.00,0.00,0.00,5.56,0.00,0.00,11.11,0.00,0.00,11.11,5.56,0.00,0.00,8.33,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,33.33,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,16.67
991730099622948864,2018-05-02 17:24:15,0,16,b'RT @BresPolitico: Michael Grimm needed an ugly GOP primary to have a chance to win his Staten Island seat back after a stint in prison. He\xe2\x80\x99\xe2\x80\xa6',33,98.22,81.84,1.00,25.77,16.50,9.09,54.55,33.33,6.06,6.06,0.00,0.00,0.00,6.06,0.00,0.00,9.09,12.12,3.03,3.03,0.00,0.00,6.06,6.06,3.03,0.00,0.00,0.00,6.06,3.03,3.03,0.00,3.03,0.00,9.09,0.00,0.00,0.00,6.06,6.06,0.00,0.00,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,3.03,6.06,3.03,0.00,3.03,3.03,0.00,9.09,0.00,6.06,6.06,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,6.06,3.03,0.00,0.00,33.33,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,6.06,0.00,21.21
991723609159806976,2018-05-02 16:58:28,0,20,b'RT @playbookplus: The latest in Power Briefing: Ty Cobb leaving White House legal team as he says that an interview between Trump and Muell\xe2\x80\xa6',28,95.70,96.27,1.06,87.20,28.00,17.86,71.43,28.57,7.14,3.57,0.00,0.00,0.00,3.57,0.00,3.57,7.14,10.71,0.00,0.00,7.14,0.00,7.14,10.71,7.14,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,17.86,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,7.14,3.57,3.57,3.57,0.00,0.00,0.00,3.57,0.00,10.71,3.57,3.57,3.57,10.71,3.57,3.57,0.00,0.00,0.00,10.71,0.00,10.71,3.57,0.00,0.00,28.57,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,14.29
991722397253455875,2018-05-02 16:53:39,18,19,b'Tom Price walks back remarks on mandate repeal https://t.co/vkNXacPZZs https://t.co/MnF9ZJk5Hq',19,92.84,50.00,19.27,25.77,19.00,21.05,42.11,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,15.79,5.26,10.53,5.26,0.00,0.00,0.00,5.26,0.00,0.00,15.79,0.00,15.79,0.00,0.00,0.00,42.11,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,21.05
991719013884547078,2018-05-02 16:40:12,32,17,b'The race between former congressman (and convicted felon) Michael Grimm and Rep. Dan Donovan might be the nastiest Republican congressional primary in America.\nhttps://t.co/oaaFcmiBOp https://t.co/z4pYoHec58',34,92.84,50.00,1.00,1.76,17.00,35.29,44.12,23.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,5.88,0.00,5.88,0.00,5.88,2.94,2.94,0.00,0.00,0.00,2.94,0.00,2.94,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,2.94,2.94,2.94,5.88,0.00,2.94,2.94,5.88,0.00,0.00,0.00,0.00,0.00,8.82,0.00,8.82,0.00,0.00,0.00,38.24,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,14.71
991716473029713921,2018-05-02 16:30:07,56,20,b'Trump aides and associates have warned the president that ousting Mueller would have messy political consequences. But it\xe2\x80\x99s also unlikely to solve many of his legal worries. https://t.co/r1CRM3nTFS https://t.co/x8omwcyGXY',41,59.67,50.00,1.00,1.00,13.67,24.39,63.41,29.27,7.32,2.44,0.00,0.00,0.00,2.44,0.00,4.88,2.44,4.88,7.32,2.44,7.32,0.00,9.76,4.88,0.00,0.00,0.00,2.44,7.32,0.00,7.32,2.44,0.00,0.00,2.44,0.00,0.00,0.00,2.44,12.20,2.44,4.88,2.44,2.44,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.63,2.44,2.44,4.88,0.00,4.88,0.00,9.76,0.00,0.00,0.00,0.00,0.00,9.76,0.00,0.00,0.00,0.00,0.00,7.32,0.00,7.32,0.00,0.00,0.00,31.71,9.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.00,17.07
991714546237652992,2018-05-02 16:22:27,26,8,"b""Mike Pompeo\xe2\x80\x94now confirmed and sworn in\xe2\x80\x94is Trump's new secretary of state https://t.co/SixjXN2Ph3 https://t.co/6aH3fu3PgN""",30,95.54,50.00,1.00,25.77,30.00,10.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,3.33,0.00,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,50.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,0.00,33.33
991713959135924224,2018-05-02 16:20:07,34,22,b'Chelsea Manning: Google and Facebook deliberately use biased algorithms https://t.co/Xs2eNlVPqW via @politicoeurope https://t.co/gyKWEKchSU',22,92.84,67.52,1.00,25.77,22.00,36.36,36.36,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,0.00,4.55,0.00,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,4.55,4.55,0.00,0.00,0.00,0.00,13.64,0.00,13.64,0.00,0.00,0.00,45.45,9.09,0.00,4.55,0.00,0.00,0.00,0.00,0.00,9.09,0.00,22.73
991711571385647104,2018-05-02 16:10:38,0,8,"b'RT @morningmoneyben: The latest @POLITICO Money podcast from Los Angeles takes you inside the glitz, glamour, weirdness and wonkiness of th\xe2\x80\xa6'",25,98.98,88.48,6.70,25.77,25.00,28.00,68.00,28.00,4.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00,12.00,0.00,0.00,4.00,0.00,4.00,8.00,4.00,0.00,0.00,0.00,8.00,4.00,4.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,4.00,4.00,0.00,0.00,4.00,0.00,12.00,0.00,4.00,8.00,4.00,4.00,0.00,4.00,0.00,0.00,8.00,0.00,8.00,4.00,0.00,0.00,40.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,20.00
991711448580722690,2018-05-02 16:10:09,62,23,b'The immigrant doctor who\xe2\x80\x99s solving West Virginia\xe2\x80\x99s opioids crisis https://t.co/1rK29RaqKg via @POLITICOMag https://t.co/EdqOFmJt6m',29,95.62,63.49,3.81,25.77,29.00,24.14,41.38,10.34,3.45,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,3.45,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,3.45,3.45,0.00,13.79,0.00,3.45,6.90,0.00,3.45,0.00,0.00,0.00,6.90,0.00,6.90,0.00,6.90,0.00,0.00,0.00,0.00,0.00,10.34,0.00,10.34,0.00,0.00,0.00,51.72,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,37.93
